"Date","Price","Open","High","Low","Vol.","Change %"
"May 24, 2021","38,742.0","34,715.4","39,007.4","34,715.4","6.00B","11.77%"
"May 23, 2021","34,663.1","37,420.0","37,880.2","32,149.8","7.43B","-7.36%"
"May 22, 2021","37,418.3","37,252.6","38,293.4","35,701.8","4.73B","0.43%"
"May 21, 2021","37,259.0","40,515.0","41,708.4","35,807.9","7.71B","-8.58%"
"May 20, 2021","40,754.5","37,123.2","42,102.3","37,123.2","8.02B","11.11%"
"May 19, 2021","36,678.6","43,010.8","43,010.8","33,784.6","13.48B","-14.50%"
"May 18, 2021","42,900.0","43,595.3","45,436.0","42,500.0","5.15B","-1.45%"
"May 17, 2021","43,531.6","46,454.3","46,454.3","42,553.7","7.35B","-6.17%"
"May 16, 2021","46,393.8","46,921.8","49,559.9","44,222.4","5.37B","-0.69%"
"May 15, 2021","46,717.8","49,884.3","50,261.9","46,717.8","3.87B","-6.23%"
"May 14, 2021","49,820.0","49,644.7","51,078.0","49,435.1","4.02B","0.23%"
"May 13, 2021","49,704.5","49,159.0","51,033.4","48,715.3","7.30B","0.78%"
"May 12, 2021","49,322.1","56,657.6","57,259.0","49,322.1","5.48B","-12.97%"
"May 11, 2021","56,670.0","55,809.4","56,670.0","54,924.8","3.58B","1.50%"
"May 10, 2021","55,833.6","58,352.8","59,197.5","54,889.8","3.76B","-4.09%"
"May 09, 2021","58,214.4","58,872.9","58,872.9","56,980.0","4.04B","-0.99%"
"May 08, 2021","58,795.6","57,310.8","59,087.6","57,188.1","4.08B","2.57%"
"May 07, 2021","57,322.2","56,433.3","57,835.0","55,443.8","4.24B","1.65%"
"May 06, 2021","56,392.9","57,469.9","58,061.4","55,976.1","3.99B","-1.77%"
"May 05, 2021","57,407.0","54,910.0","57,407.0","54,747.3","4.33B","6.25%"
"May 04, 2021","54,032.1","57,194.9","57,194.9","54,032.1","4.71B","-5.47%"
"May 03, 2021","57,160.5","56,565.5","58,779.0","56,565.5","3.34B","0.99%"
"May 02, 2021","56,600.4","57,829.8","57,829.8","56,383.0","2.09B","-2.06%"
"May 01, 2021","57,791.6","57,697.2","58,214.1","57,402.7","2.46B","0.16%"
"Apr 30, 2021","57,700.6","53,552.3","57,700.6","53,475.9","3.81B","7.75%"
"Apr 29, 2021","53,549.3","54,861.0","54,861.0","52,902.1","2.82B","-2.31%"
"Apr 28, 2021","54,813.2","55,060.6","55,591.0","54,318.7","3.02B","-0.38%"
"Apr 27, 2021","55,022.0","53,925.8","55,022.0","53,498.4","3.10B","1.89%"
"Apr 26, 2021","54,003.3","49,078.4","54,003.3","49,078.4","4.56B","10.30%"
"Apr 25, 2021","48,961.9","50,099.0","50,276.9","47,683.2","2.87B","-2.22%"
"Apr 24, 2021","50,075.1","51,161.5","51,161.5","48,968.7","2.76B","-2.05%"
"Apr 23, 2021","51,125.1","51,635.9","51,635.9","48,215.0","6.57B","-1.12%"
"Apr 22, 2021","51,703.6","53,850.0","55,051.4","51,703.6","5.59B","-3.95%"
"Apr 21, 2021","53,828.7","56,495.7","56,495.7","53,828.7","3.70B","-4.68%"
"Apr 20, 2021","56,472.2","55,724.1","56,943.5","54,796.7","4.04B","1.52%"
"Apr 19, 2021","55,627.7","56,137.2","57,079.1","54,782.0","4.40B","-0.99%"
"Apr 18, 2021","56,185.6","60,056.7","60,056.7","53,000.0","6.95B","-6.43%"
"Apr 17, 2021","60,045.9","61,360.1","62,398.9","60,045.9","3.61B","-2.10%"
"Apr 16, 2021","61,335.2","63,183.3","63,183.3","60,534.8","5.65B","-2.96%"
"Apr 15, 2021","63,207.2","63,137.5","63,348.3","62,464.1","3.25B","0.35%"
"Apr 14, 2021","62,985.7","63,681.2","64,513.3","62,250.6","5.24B","-0.86%"
"Apr 13, 2021","63,533.8","59,860.0","63,533.8","59,860.0","5.15B","6.12%"
"Apr 12, 2021","59,868.3","60,150.0","60,657.8","59,684.0","3.39B","-0.18%"
"Apr 11, 2021","59,976.5","59,763.2","60,436.6","59,456.2","2.46B","0.43%"
"Apr 10, 2021","59,722.6","58,155.4","60,758.4","58,110.0","4.20B","2.74%"
"Apr 09, 2021","58,127.6","58,100.0","58,543.1","57,760.1","2.38B","0.09%"
"Apr 08, 2021","58,073.5","55,973.5","58,073.5","55,973.5","2.53B","3.80%"
"Apr 07, 2021","55,947.2","57,989.0","58,327.1","55,703.4","4.05B","-3.52%"
"Apr 06, 2021","57,991.3","59,162.0","59,277.5","57,647.7","3.17B","-1.70%"
"Apr 05, 2021","58,993.4","58,242.4","59,024.7","56,986.8","3.16B","1.38%"
"Apr 04, 2021","58,192.8","56,818.5","58,192.8","56,818.5","2.38B","2.00%"
"Apr 03, 2021","57,053.6","58,958.0","59,622.6","57,053.6","2.78B","-3.26%"
"Apr 02, 2021","58,973.2","58,786.0","59,742.7","58,687.7","2.81B","0.44%"
"Apr 01, 2021","58,714.9","58,726.7","59,217.4","58,624.0","2.79B","-0.05%"
"Mar 31, 2021","58,744.8","58,767.4","59,222.6","57,611.7","3.58B","-0.02%"
"Mar 30, 2021","58,757.3","57,658.4","59,011.6","57,151.0","3.22B","1.99%"
"Mar 29, 2021","57,610.1","55,794.4","58,148.8","55,302.2","3.88B","3.32%"
"Mar 28, 2021","55,756.7","55,956.6","56,249.9","54,965.4","2.18B","-0.18%"
"Mar 27, 2021","55,855.8","55,205.1","56,455.8","54,536.4","2.77B","1.52%"
"Mar 26, 2021","55,022.1","51,310.9","55,022.1","51,310.9","3.40B","7.23%"
"Mar 25, 2021","51,310.3","52,429.0","52,929.5","51,092.6","4.54B","-1.96%"
"Mar 24, 2021","52,338.5","54,270.4","56,993.9","52,338.5","4.58B","-3.63%"
"Mar 23, 2021","54,310.0","54,088.9","55,639.5","53,282.7","3.26B","0.23%"
"Mar 22, 2021","54,185.2","57,440.9","57,815.2","54,185.2","3.53B","-5.58%"
"Mar 21, 2021","57,385.0","58,040.4","58,364.1","56,160.0","2.77B","-1.21%"
"Mar 20, 2021","58,090.0","58,007.9","59,553.7","58,007.9","2.62B","-0.01%"
"Mar 19, 2021","58,097.8","57,573.2","58,958.1","57,500.0","3.05B","0.78%"
"Mar 18, 2021","57,645.4","59,108.4","59,340.9","57,645.4","3.90B","-2.15%"
"Mar 17, 2021","58,914.2","56,911.6","58,914.2","54,525.1","3.96B","3.59%"
