"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 24, 2022","25.875","25.367","26.163","25.172","-","2.72%"
"Mar 23, 2022","25.189","24.915","25.370","24.780","34.15K","1.14%"
"Mar 22, 2022","24.904","25.410","25.590","24.695","45.76K","-1.62%"
"Mar 21, 2022","25.313","25.150","25.520","25.050","34.84K","1.06%"
"Mar 20, 2022","25.047","25.090","25.293","25.047","-","-0.16%"
"Mar 18, 2022","25.087","25.595","25.640","24.980","38.06K","-2.07%"
"Mar 17, 2022","25.616","25.240","25.750","25.165","40.14K","3.67%"
