"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 24, 2022","43,940.0","42,885.0","44,221.0","42,670.0","3.88K","2.47%"
"Mar 23, 2022","42,882.0","42,370.0","42,995.0","41,772.0","2.75K","1.21%"
"Mar 22, 2022","42,370.0","41,011.0","43,319.0","40,886.0","5.00K","3.26%"
"Mar 21, 2022","41,031.0","41,264.0","41,535.0","40,544.0","2.62K","-0.53%"
"Mar 20, 2022","41,249.0","42,213.0","42,292.0","40,933.0","1.81K","-2.29%"
"Mar 19, 2022","42,214.0","41,774.0","42,373.0","41,491.0","2.14K","1.05%"
"Mar 18, 2022","41,774.0","40,942.6","42,333.0","40,236.0","3.77K","2.03%"
